Date,Attendees,Joined,Members,Subject
Jan-20,17,4,137,New Year Clinic
Feb-20,13,2,139,Nightingale: How Gutenberg can save the NHS money and improve health outcomes
Mar-20,10,3,142,Virtual meetup trial
Apr-20,27,9,151,How to build and sell WordPress plugins
May-20,14,4,155,Lightning talks
Jun-20,45,24,179,Build your WordPress website in 21 steps
Jul-20,17,8,187,How to build your WordPress website - Part Two
Aug-20,15,7,194,Plugin Kollektiv
Sep-20,39,14,208,Whats new in WordPress 5.5. and how to use it
Oct-20,35,16,224,Gutenberg the block editor
Nov-20,35,11,235,WP Plugin Presentation
Dec-20,17,3,238,Social & quiz
